iter	RMSE
0	14.38136963
1	13.97814393
2	13.57940058
3	13.17996221
4	12.80941652
5	12.46106986
6	12.13045169
7	11.79309431
8	11.49146025
9	11.16832468
10	10.84447831
11	10.57843351
12	10.28070853
13	10.02379344
14	9.769335133
15	9.523538419
16	9.271961292
17	9.041492728
18	8.821193517
19	8.612244002
20	8.39096384
21	8.179200797
22	7.984195236
23	7.78610481
24	7.590413252
25	7.410995874
26	7.268601075
27	7.109671874
28	6.952905469
29	6.813483907
30	6.67245178
31	6.53428122
32	6.420017026
33	6.286195292
34	6.167535104
35	6.053307291
36	5.945300556
37	5.838689538
38	5.735851584
39	5.631002113
40	5.537266071
41	5.452639054
42	5.374365178
43	5.287691322
44	5.204387324
45	5.124366017
46	5.049836434
47	4.975966659
48	4.908641469
49	4.850786775
50	4.788774262
51	4.724107069
52	4.665258911
53	4.612369326
54	4.562848263
55	4.50658476
56	4.453947321
57	4.408848273
58	4.369443011
59	4.327576809
60	4.284292073
61	4.241505265
62	4.20921382
63	4.170523217
64	4.135957222
65	4.102402783
66	4.068986769
67	4.037966695
68	4.010256546
69	3.980723329
70	3.954261301
71	3.929944507
72	3.906486331
73	3.884051922
74	3.858848891
75	3.835683345
76	3.814264718
77	3.79605411
78	3.774965434
79	3.755193752
80	3.733386386
81	3.713136619
82	3.697717769
83	3.682209289
84	3.665592241
85	3.650342377
86	3.63508923
87	3.623338113
88	3.608006025
89	3.593440093
90	3.580491941
91	3.569031145
92	3.556270736
93	3.543512828
94	3.529776988
95	3.516435244
96	3.505636439
97	3.494143559
98	3.484640468
99	3.475903148
100	3.465646026
101	3.453633216
102	3.443033417
103	3.433949394
104	3.425125267
105	3.415425752
106	3.407388549
107	3.399136191
108	3.390254682
109	3.382984332
110	3.376900419
111	3.369626813
112	3.36341232
113	3.358177442
114	3.351304052
115	3.345843907
116	3.339259328
117	3.332020785
118	3.326503068
119	3.3209035
120	3.313037096
121	3.309092586
122	3.303668467
123	3.297581444
124	3.291709956
125	3.285768757
126	3.28078008
127	3.274996275
128	3.26962854
129	3.263634489
130	3.258042565
131	3.252630007
132	3.249122462
133	3.244903964
134	3.23935646
135	3.234474004
136	3.229551274
137	3.223960813
138	3.220344471
139	3.215686756
140	3.209139901
141	3.205297987
142	3.198795598
143	3.195093211
144	3.190307413
145	3.185264802
146	3.181233528
147	3.17677039
148	3.172860455
149	3.170102249
150	3.164777845
151	3.161635748
152	3.158918153
153	3.155861663
154	3.152593647
155	3.14966141
156	3.143669801
157	3.139208781
158	3.134625085
159	3.12969551
160	3.125309273
161	3.12237408
162	3.115774026
163	3.113572111
164	3.111162828
165	3.108784934
166	3.105501385
167	3.102392879
168	3.098284399
169	3.096097458
170	3.092212813
171	3.088534827
172	3.085853497
173	3.083972321
174	3.081323269
175	3.080061208
176	3.077772925
177	3.076051891
178	3.072318062
179	3.06987848
180	3.067751023
181	3.065282683
182	3.063504726
183	3.060860578
184	3.056714595
185	3.054756974
186	3.052846623
187	3.048754469
188	3.046310825
189	3.044088267
190	3.04019676
191	3.037211684
192	3.034109378
193	3.031334728
194	3.028453365
195	3.024246542
196	3.022505743
197	3.0199486
198	3.016382589
199	3.01422499
200	3.010606675
201	3.008590004
202	3.004449978
203	3.001790483
204	2.999853131
205	2.996439197
206	2.993390576
207	2.991599452
208	2.989960683
209	2.987883964
210	2.986070891
211	2.982508625
212	2.980173341
213	2.978820543
214	2.974659992
215	2.971626474
216	2.970208512
217	2.966868979
218	2.966126536
219	2.963457175
220	2.959387721
221	2.957267518
222	2.955146077
223	2.952371507
224	2.94853436
225	2.946317512
226	2.945812793
227	2.944383006
228	2.942266928
229	2.938811586
230	2.934145942
231	2.931644857
232	2.930635079
233	2.927574629
234	2.92498879
235	2.922836222
236	2.918895683
237	2.918312354
238	2.915905014
239	2.91500073
240	2.910846982
241	2.907778938
242	2.904436972
243	2.90056666
244	2.900134181
245	2.898950789
246	2.895861181
247	2.894811765
248	2.894371818
249	2.890638887
250	2.888080405
251	2.885577692
252	2.882848482
253	2.880453152
254	2.879365069
255	2.877567032
256	2.876297259
257	2.875020268
258	2.872591953
259	2.867740943
260	2.864496813
261	2.862285353
262	2.858840052
263	2.854895438
264	2.853544254
265	2.850312004
266	2.849710967
267	2.846525861
268	2.843275502
269	2.842002006
270	2.838089801
271	2.836013859
272	2.83384744
273	2.831770257
274	2.829372366
275	2.825851581
276	2.823547607
277	2.821008531
278	2.819837046
279	2.819411736
280	2.81713302
281	2.81494681
282	2.81212852
283	2.808919904
284	2.808529763
285	2.806753186
286	2.803856317
287	2.802645071
288	2.798161128
289	2.795714507
290	2.794031285
291	2.790619555
292	2.786623351
293	2.782109633
294	2.781726504
295	2.780723406
296	2.778162943
297	2.77536761
298	2.772580399
299	2.771526962
300	2.768783157
301	2.765872074
302	2.761952611
303	2.759597823
304	2.75731289
305	2.752761583
306	2.752292442
307	2.750527244
308	2.747713819
309	2.744391077
310	2.74185681
311	2.73842621
312	2.736140634
313	2.734767268
314	2.731792135
315	2.731006148
316	2.72787442
317	2.724911815
318	2.722773497
319	2.719584743
320	2.716121433
321	2.71441495
322	2.712410163
323	2.708441948
324	2.705983916
325	2.703914195
326	2.702458354
327	2.701240959
328	2.699723762
329	2.697196639
330	2.694315377
331	2.692392891
332	2.690813826
333	2.688327131
334	2.685385705
335	2.68440091
336	2.683536404
337	2.680996014
338	2.675771232
339	2.674971309
340	2.672701894
341	2.671940673
342	2.669960712
343	2.667307453
344	2.6646026
345	2.661498646
346	2.65860585
347	2.657396863
348	2.654019968
349	2.651663012
350	2.651069759
351	2.6497402
352	2.646747615
353	2.64498633
354	2.64209943
355	2.638314299
356	2.637454885
357	2.635595622
358	2.634033145
359	2.631211426
360	2.630322756
361	2.627772689
362	2.625818621
363	2.624521333
364	2.62131864
365	2.61789597
366	2.617641812
367	2.615307728
368	2.615025344
369	2.612779418
370	2.609586127
371	2.609299731
372	2.607361389
373	2.603961937
374	2.601991738
375	2.59792041
376	2.595714565
377	2.593730349
378	2.59059126
379	2.58710134
380	2.586733217
381	2.584754959
382	2.584556212
383	2.581507208
384	2.579406942
385	2.577169731
386	2.573047236
387	2.571952404
388	2.569309788
389	2.567647767
390	2.565146383
391	2.562333496
392	2.559690118
393	2.556705331
394	2.554092728
395	2.552179721
396	2.54945364
397	2.548137683
398	2.544446971
399	2.541454414
400	2.539837565
401	2.536695973
402	2.53434233
403	2.531419899
404	2.530405441
405	2.528408694
406	2.52527805
407	2.522720872
408	2.520080284
409	2.517245863
410	2.51567852
411	2.512817863
412	2.510775523
413	2.509344833
414	2.507984472
415	2.504409733
416	2.501699892
417	2.49948377
418	2.496890648
419	2.495337839
420	2.494368402
421	2.492224455
422	2.491008966
423	2.488696301
424	2.487894372
425	2.486501852
426	2.484821255
427	2.480972387
428	2.477483335
429	2.473801493
430	2.470855969
431	2.469683463
432	2.468021332
433	2.46631927
434	2.464693009
435	2.462795865
436	2.46192167
437	2.459643908
438	2.45849948
439	2.457756115
440	2.454485344
441	2.45234654
442	2.450783597
443	2.448224259
444	2.447589159
445	2.445300934
446	2.442853789
447	2.438709521
448	2.435620917
449	2.433005563
450	2.43186447
451	2.431416112
452	2.429511419
453	2.428462634
454	2.426061331
455	2.424490787
456	2.423706874
457	2.422525248
458	2.420255201
459	2.419162776
460	2.416035793
461	2.414133346
462	2.412941596
463	2.411557089
464	2.410594648
465	2.408227419
466	2.405760247
467	2.40204515
468	2.399697094
469	2.396750752
470	2.394936361
471	2.392400184
472	2.391050828
473	2.388437119
474	2.387674359
475	2.386046051
476	2.384723957
477	2.383454969
478	2.381642557
479	2.381265699
480	2.379481952
481	2.378097074
482	2.375164221
483	2.373649786
484	2.371891271
485	2.369951461
486	2.367917467
487	2.365833912
488	2.363147523
489	2.361503851
490	2.361063602
491	2.359603266
492	2.357834874
493	2.356273599
494	2.354246431
495	2.353600929
496	2.353411598
497	2.352655092
498	2.350812517
